epoch,start_time,end_time,duration_s,avg_duration_s,total_time_min,batch_count,avg_train_loss,val_accuracy,val_rmse,val_auc
1,1970-01-02 10:00:25,1970-01-02 10:00:27,2.13,2.13,0.04,4,10.6551,0.642358,0.597907,0.5
2,1970-01-02 10:00:28,1970-01-02 10:00:30,1.56,1.84,0.06,4,3.080845,0.642358,0.597828,0.50394
3,1970-01-02 10:00:30,1970-01-02 10:00:32,1.56,1.75,0.09,4,2.895324,0.642358,0.597701,0.513463
4,1970-01-02 10:00:32,1970-01-02 10:00:34,1.52,1.69,0.11,4,2.760121,0.642358,0.597495,0.514703
5,1970-01-02 10:00:35,1970-01-02 10:00:36,1.65,1.68,0.14,4,2.540501,0.642358,0.597145,0.521084
6,1970-01-02 10:00:37,1970-01-02 10:00:39,1.63,1.67,0.17,4,2.347765,0.642358,0.596551,0.530346
7,1970-01-02 10:00:40,1970-01-02 10:00:41,1.55,1.66,0.19,4,2.158808,0.642358,0.595534,0.53035
8,1970-01-02 10:00:42,1970-01-02 10:00:43,1.6,1.65,0.22,4,1.949264,0.642358,0.593846,0.536248
9,1970-01-02 10:00:44,1970-01-02 10:00:46,1.65,1.65,0.25,4,1.788044,0.642358,0.591079,0.540861
10,1970-01-02 10:00:46,1970-01-02 10:00:48,1.57,1.64,0.27,4,1.575413,0.642358,0.5869,0.541276
11,1970-01-02 10:00:48,1970-01-02 10:00:50,1.55,1.63,0.3,4,1.426806,0.642358,0.580949,0.544252
12,1970-01-02 10:00:50,1970-01-02 10:00:52,1.59,1.63,0.33,4,1.289675,0.642358,0.573262,0.54754
13,1970-01-02 10:00:52,1970-01-02 10:00:54,1.58,1.63,0.35,4,1.173453,0.642358,0.564219,0.548446
14,1970-01-02 10:00:54,1970-01-02 10:00:56,1.57,1.62,0.38,4,1.060297,0.642358,0.55458,0.549867
15,1970-01-02 10:00:56,1970-01-02 10:00:58,1.61,1.62,0.41,4,0.963811,0.642358,0.545134,0.550286
16,1970-01-02 10:00:58,1970-01-02 10:01:00,1.62,1.62,0.43,4,0.915718,0.642358,0.536431,0.550675
17,1970-01-02 10:01:01,1970-01-02 10:01:02,1.65,1.62,0.46,4,0.866,0.642358,0.528732,0.549571
18,1970-01-02 10:01:03,1970-01-02 10:01:04,1.75,1.63,0.49,4,0.83089,0.642358,0.522126,0.548522
19,1970-01-02 10:01:05,1970-01-02 10:01:07,1.66,1.63,0.52,4,0.803802,0.642358,0.516418,0.547538
20,1970-01-02 10:01:07,1970-01-02 10:01:09,1.72,1.64,0.55,4,0.776487,0.642358,0.51143,0.547747
21,1970-01-02 10:01:09,1970-01-02 10:01:11,1.62,1.64,0.57,4,0.760932,0.642358,0.507072,0.546428
22,1970-01-02 10:01:11,1970-01-02 10:01:13,1.7,1.64,0.6,4,0.752844,0.642358,0.503327,0.544552
23,1970-01-02 10:01:14,1970-01-02 10:01:15,1.72,1.64,0.63,4,0.732708,0.642358,0.50009,0.540475
24,1970-01-02 10:01:16,1970-01-02 10:01:17,1.65,1.64,0.66,4,0.721329,0.642358,0.497329,0.537405
25,1970-01-02 10:01:18,1970-01-02 10:01:20,1.7,1.64,0.69,4,0.70656,0.642358,0.494977,0.53396
26,1970-01-02 10:01:20,1970-01-02 10:01:22,1.66,1.65,0.71,4,0.706438,0.642358,0.492902,0.531917
27,1970-01-02 10:01:22,1970-01-02 10:01:24,1.59,1.64,0.74,4,0.70487,0.642358,0.491105,0.534527
28,1970-01-02 10:01:24,1970-01-02 10:01:26,1.77,1.65,0.77,4,0.692797,0.642358,0.489562,0.535794
29,1970-01-02 10:01:26,1970-01-02 10:01:28,1.65,1.65,0.8,4,0.697589,0.642358,0.488203,0.539289
30,1970-01-02 10:01:29,1970-01-02 10:01:30,1.72,1.65,0.83,4,0.690293,0.642358,0.486988,0.537964
31,1970-01-02 10:01:31,1970-01-02 10:01:33,1.7,1.65,0.85,4,0.686122,0.642358,0.485905,0.540401
32,1970-01-02 10:01:33,1970-01-02 10:01:35,1.65,1.65,0.88,4,0.684297,0.642358,0.484938,0.540236
33,1970-01-02 10:01:35,1970-01-02 10:01:37,1.62,1.65,0.91,4,0.686567,0.642358,0.484109,0.533016
34,1970-01-02 10:01:38,1970-01-02 10:01:39,1.71,1.65,0.94,4,0.677328,0.642358,0.483396,0.530835
35,1970-01-02 10:01:40,1970-01-02 10:01:42,1.77,1.66,0.97,4,0.67695,0.642358,0.482777,0.531508
36,1970-01-02 10:01:43,1970-01-02 10:01:45,1.98,1.67,1.0,4,0.671906,0.642358,0.482234,0.533476
37,1970-01-02 10:01:46,1970-01-02 10:01:48,1.58,1.66,1.03,4,0.674178,0.642358,0.481755,0.537408
38,1970-01-02 10:01:48,1970-01-02 10:01:50,1.57,1.66,1.05,4,0.672084,0.642358,0.48135,0.536645
39,1970-01-02 10:01:50,1970-01-02 10:01:52,1.6,1.66,1.08,4,0.667168,0.642358,0.481005,0.539074
40,1970-01-02 10:01:52,1970-01-02 10:01:54,1.67,1.66,1.11,4,0.668471,0.642358,0.480709,0.534612
41,1970-01-02 10:01:55,1970-01-02 10:01:56,1.58,1.66,1.13,4,0.667775,0.642358,0.480459,0.539577
42,1970-01-02 10:01:57,1970-01-02 10:01:59,1.65,1.66,1.16,4,0.669937,0.642358,0.480247,0.532216
43,1970-01-02 10:02:00,1970-01-02 10:02:01,1.61,1.66,1.19,4,0.669816,0.642358,0.480064,0.524251
44,1970-01-02 10:02:02,1970-01-02 10:02:04,1.65,1.66,1.21,4,0.669167,0.642358,0.479906,0.522952
45,1970-01-02 10:02:04,1970-01-02 10:02:06,1.54,1.65,1.24,4,0.665579,0.642358,0.479775,0.537931
46,1970-01-02 10:02:07,1970-01-02 10:02:08,1.57,1.65,1.27,4,0.666038,0.642358,0.479668,0.529351
47,1970-01-02 10:02:09,1970-01-02 10:02:11,1.7,1.65,1.29,4,0.664263,0.642358,0.479581,0.531271
48,1970-01-02 10:02:11,1970-01-02 10:02:13,1.58,1.65,1.32,4,0.663417,0.642358,0.47951,0.528059
49,1970-01-02 10:02:13,1970-01-02 10:02:15,1.61,1.65,1.35,4,0.664523,0.642358,0.479452,0.532764
50,1970-01-02 10:02:15,1970-01-02 10:02:17,1.58,1.65,1.37,4,0.668686,0.642358,0.479407,0.529597
51,1970-01-02 10:02:17,1970-01-02 10:02:19,1.75,1.65,1.4,4,0.661791,0.642358,0.479373,0.523324
52,1970-01-02 10:02:20,1970-01-02 10:02:21,1.79,1.65,1.43,4,0.662347,0.642358,0.479347,0.521827
53,1970-01-02 10:02:22,1970-01-02 10:02:24,1.57,1.65,1.46,4,0.66045,0.642358,0.479329,0.532935
54,1970-01-02 10:02:24,1970-01-02 10:02:26,1.61,1.65,1.49,4,0.663362,0.642358,0.479317,0.530424
55,1970-01-02 10:02:26,1970-01-02 10:02:28,1.65,1.65,1.51,4,0.665901,0.642358,0.479309,0.531208
56,1970-01-02 10:02:28,1970-01-02 10:02:30,1.65,1.65,1.54,4,0.660267,0.642358,0.479306,0.534215
