epoch,start_time,end_time,duration_s,avg_duration_s,total_time_min,batch_count,avg_train_loss,val_accuracy,val_rmse,val_auc
1,1970-01-01 16:05:18,1970-01-01 16:07:07,108.8,108.8,1.81,293,1.039355,0.64521,0.47848,0.55884
2,1970-01-01 16:07:10,1970-01-01 16:08:54,103.87,106.34,3.54,293,0.655773,0.64521,0.478456,0.598441
3,1970-01-01 16:08:57,1970-01-01 16:10:42,104.55,105.74,5.29,293,0.655278,0.64521,0.478454,0.613239
4,1970-01-01 16:10:44,1970-01-01 16:12:28,103.27,105.12,7.01,293,0.655029,0.64521,0.478466,0.631365
5,1970-01-01 16:12:30,1970-01-01 16:14:13,102.98,104.7,8.72,293,0.654983,0.64521,0.478449,0.663355
6,1970-01-01 16:14:16,1970-01-01 16:16:00,103.9,104.56,10.46,293,0.653265,0.64521,0.47753,0.6812
7,1970-01-01 16:16:03,1970-01-01 16:17:47,103.54,104.42,12.18,293,0.638768,0.64521,0.472092,0.683782
8,1970-01-01 16:17:50,1970-01-01 16:19:33,103.07,104.25,13.9,293,0.58893,0.647438,0.462525,0.684209
9,1970-01-01 16:19:35,1970-01-01 16:21:19,103.54,104.17,15.63,293,0.506895,0.673584,0.456994,0.68528
10,1970-01-01 16:21:22,1970-01-01 16:23:06,103.77,104.13,17.35,293,0.423413,0.683198,0.458936,0.684793
11,1970-01-01 16:23:09,1970-01-01 16:24:55,106.18,104.32,19.12,293,0.354197,0.671122,0.465209,0.682724
12,1970-01-01 16:24:58,1970-01-01 16:26:45,107.56,104.59,20.92,293,0.296989,0.664556,0.47336,0.678718
13,1970-01-01 16:26:49,1970-01-01 16:28:32,103.84,104.53,22.65,293,0.251414,0.661039,0.482159,0.673697
14,1970-01-01 16:28:35,1970-01-01 16:30:20,104.76,104.55,24.39,293,0.215946,0.651894,0.490874,0.668888
15,1970-01-01 16:30:23,1970-01-01 16:32:09,105.74,104.63,26.16,293,0.187146,0.644155,0.498736,0.665114
16,1970-01-01 16:32:12,1970-01-01 16:33:57,105.4,104.67,27.91,293,0.164734,0.645093,0.506143,0.660741
17,1970-01-01 16:34:00,1970-01-01 16:35:44,103.76,104.62,29.64,293,0.146747,0.638176,0.512893,0.657558
18,1970-01-01 16:35:47,1970-01-01 16:37:30,103.65,104.57,31.37,293,0.131932,0.63712,0.517972,0.655249
19,1970-01-01 16:37:33,1970-01-01 16:39:18,104.52,104.56,33.11,293,0.120352,0.636534,0.52272,0.653098
20,1970-01-01 16:39:21,1970-01-01 16:41:02,101.34,104.4,34.8,293,0.110385,0.635362,0.526842,0.651037
21,1970-01-01 16:41:05,1970-01-01 16:42:47,102.03,104.29,36.5,293,0.100574,0.632079,0.531512,0.649762
22,1970-01-01 16:42:50,1970-01-01 16:44:30,99.81,104.09,38.16,293,0.092701,0.630437,0.535194,0.647958
23,1970-01-01 16:44:32,1970-01-01 16:46:12,99.97,103.91,39.83,293,0.087014,0.633134,0.537422,0.646348
24,1970-01-01 16:46:15,1970-01-01 16:47:56,101.17,103.79,41.52,293,0.08152,0.629499,0.54177,0.645236
25,1970-01-01 16:47:59,1970-01-01 16:49:39,99.65,103.63,43.18,293,0.076459,0.628092,0.544895,0.643996
26,1970-01-01 16:49:41,1970-01-01 16:51:21,99.69,103.48,44.84,293,0.071277,0.627506,0.546775,0.643688
27,1970-01-01 16:51:24,1970-01-01 16:53:03,99.42,103.33,46.5,293,0.069468,0.621761,0.550459,0.642656
28,1970-01-01 16:53:06,1970-01-01 16:54:45,98.96,103.17,48.15,293,0.065581,0.627506,0.550322,0.642236
29,1970-01-01 16:54:48,1970-01-01 16:56:27,99.35,103.04,49.8,293,0.061166,0.629265,0.551211,0.641504
30,1970-01-01 16:56:30,1970-01-01 16:58:09,99.55,102.92,51.46,293,0.057992,0.628444,0.553029,0.640621
