epoch,start_time,end_time,duration_s,avg_duration_s,total_time_min,batch_count,avg_train_loss,val_accuracy,val_rmse,val_auc
1,1970-01-03 03:18:14,1970-01-03 03:46:49,1714.74,1714.74,28.58,2934,0.69518,0.642498,0.480362,0.695204
2,1970-01-03 03:48:03,1970-01-03 04:14:51,1608.59,1661.66,55.39,2934,0.654997,0.642498,0.473209,0.702251
3,1970-01-03 04:15:42,1970-01-03 04:33:31,1069.28,1464.2,73.21,2934,0.610278,0.677089,0.449445,0.717172
4,1970-01-03 04:34:06,1970-01-03 04:51:22,1036.51,1357.28,90.49,2934,0.570693,0.698612,0.438831,0.745234
5,1970-01-03 04:51:57,1970-01-03 05:10:37,1120.34,1309.89,109.16,2934,0.51263,0.718144,0.431115,0.765483
6,1970-01-03 05:11:31,1970-01-03 05:29:06,1055.03,1267.41,126.74,2934,0.443687,0.715372,0.438019,0.763058
7,1970-01-03 05:29:39,1970-01-03 05:48:50,1151.03,1250.79,145.93,2934,0.394188,0.712841,0.448373,0.754201
8,1970-01-03 05:49:31,1970-01-03 06:08:37,1146.12,1237.7,165.03,2934,0.365707,0.708159,0.456612,0.746176
9,1970-01-03 06:09:16,1970-01-03 06:27:46,1110.1,1223.52,183.53,2934,0.35013,0.701499,0.460171,0.74035
10,1970-01-03 06:28:39,1970-01-03 06:46:49,1090.44,1210.22,201.7,2934,0.336375,0.701683,0.463942,0.735803
11,1970-01-03 06:47:50,1970-01-03 07:05:32,1062.56,1196.79,219.41,2934,0.326698,0.701315,0.46919,0.731555
12,1970-01-03 07:06:11,1970-01-03 07:23:10,1018.5,1181.93,236.39,2934,0.320982,0.700935,0.470827,0.728724
13,1970-01-03 07:23:42,1970-01-03 07:40:18,996.32,1167.66,252.99,2934,0.31593,0.69164,0.472815,0.727272
14,1970-01-03 07:40:49,1970-01-03 07:57:31,1002.17,1155.84,269.7,2934,0.311294,0.684877,0.476682,0.725823
15,1970-01-03 07:58:02,1970-01-03 08:14:35,992.99,1144.98,286.24,2934,0.307682,0.697611,0.474087,0.724295
16,1970-01-03 08:15:05,1970-01-03 08:31:39,993.54,1135.51,302.8,2934,0.304268,0.698301,0.475826,0.723035
17,1970-01-03 08:32:33,1970-01-03 08:49:07,993.3,1127.15,319.36,2934,0.301987,0.695885,0.476356,0.721765
18,1970-01-03 08:49:37,1970-01-03 09:06:30,1012.95,1120.8,336.24,2934,0.30018,0.687902,0.479357,0.720499
19,1970-01-03 09:07:01,1970-01-03 09:23:34,992.58,1114.06,352.78,2934,0.297932,0.678239,0.483431,0.720007
20,1970-01-03 09:24:04,1970-01-03 09:50:50,1605.85,1138.65,379.55,2934,0.296121,0.67702,0.483899,0.719747
21,1970-01-03 09:51:41,1970-01-03 10:19:11,1650.54,1163.02,407.06,2934,0.294662,0.686441,0.48114,0.719206
22,1970-01-03 10:20:02,1970-01-03 10:47:37,1654.95,1185.38,434.64,2934,0.292581,0.685762,0.481566,0.719274
23,1970-01-03 10:48:27,1970-01-03 11:15:57,1650.08,1205.59,462.14,2934,0.290425,0.688086,0.481607,0.718107
24,1970-01-03 11:16:47,1970-01-03 11:43:56,1628.23,1223.2,489.28,2934,0.288552,0.694942,0.479751,0.716283
25,1970-01-03 11:44:29,1970-01-03 12:01:51,1042.06,1215.95,506.65,2934,0.287314,0.696437,0.480625,0.714176
26,1970-01-03 12:02:24,1970-01-03 12:19:40,1035.83,1209.02,523.91,2934,0.285598,0.695954,0.48034,0.713966
27,1970-01-03 12:20:13,1970-01-03 12:37:24,1030.92,1202.43,541.09,2934,0.283739,0.693193,0.481237,0.71322
28,1970-01-03 12:37:56,1970-01-03 12:55:05,1028.66,1196.22,558.24,2934,0.281583,0.682507,0.483591,0.713289
29,1970-01-03 12:55:59,1970-01-03 13:13:17,1038.51,1190.78,575.55,2934,0.280558,0.667391,0.486939,0.713156
30,1970-01-03 13:13:51,1970-01-03 13:31:02,1030.98,1185.46,592.73,2934,0.277892,0.660248,0.489215,0.713262
31,1970-01-03 13:31:36,1970-01-03 13:48:44,1028.74,1180.4,609.87,2934,0.276337,0.665183,0.488125,0.712864
32,1970-01-03 13:49:18,1970-01-03 14:06:31,1033.36,1175.81,627.1,2934,0.27446,0.674339,0.486317,0.711992
33,1970-01-03 14:07:04,1970-01-03 14:24:17,1032.36,1171.46,644.3,2934,0.272761,0.682392,0.485113,0.711707
34,1970-01-03 14:24:50,1970-01-03 14:42:05,1034.95,1167.44,661.55,2934,0.270468,0.68666,0.48458,0.711619
