epoch,start_time,end_time,duration_s,avg_duration_s,total_time_min,batch_count,avg_train_loss,val_accuracy,val_rmse,val_auc
1,1970-01-01 15:15:28,1970-01-01 15:15:30,2.88,2.88,0.05,4,10.6551,-1.0,-1.0,-1.0
2,1970-01-01 15:15:32,1970-01-01 15:15:33,1.39,2.13,0.07,4,3.080845,-1.0,-1.0,-1.0
3,1970-01-01 15:15:37,1970-01-01 15:15:39,1.45,1.91,0.1,4,2.895324,-1.0,-1.0,-1.0
4,1970-01-01 15:15:42,1970-01-01 15:15:44,1.45,1.79,0.12,4,2.760121,-1.0,-1.0,-1.0
5,1970-01-01 15:15:47,1970-01-01 15:15:48,1.75,1.78,0.15,4,2.540501,-1.0,-1.0,-1.0
6,1970-01-01 15:15:52,1970-01-01 15:15:53,1.58,1.75,0.18,4,2.347765,-1.0,-1.0,-1.0
7,1970-01-01 15:15:57,1970-01-01 15:15:58,1.6,1.73,0.2,4,2.158808,-1.0,-1.0,-1.0
8,1970-01-01 15:16:04,1970-01-01 15:16:05,1.51,1.7,0.23,4,1.949264,-1.0,-1.0,-1.0
9,1970-01-01 15:16:08,1970-01-01 15:16:10,1.42,1.67,0.25,4,1.788044,-1.0,-1.0,-1.0
10,1970-01-01 15:16:12,1970-01-01 15:16:14,1.7,1.67,0.28,4,1.575413,-1.0,-1.0,-1.0
11,1970-01-01 15:16:18,1970-01-01 15:16:19,1.53,1.66,0.3,4,1.426806,-1.0,-1.0,-1.0
12,1970-01-01 15:16:22,1970-01-01 15:16:23,1.55,1.65,0.33,4,1.289676,-1.0,-1.0,-1.0
13,1970-01-01 15:16:26,1970-01-01 15:16:27,1.53,1.64,0.36,4,1.173454,-1.0,-1.0,-1.0
14,1970-01-01 15:16:29,1970-01-01 15:16:31,1.64,1.64,0.38,4,1.060297,-1.0,-1.0,-1.0
15,1970-01-01 15:16:33,1970-01-01 15:16:34,1.57,1.64,0.41,4,0.963811,-1.0,-1.0,-1.0
16,1970-01-01 15:16:37,1970-01-01 15:16:39,1.47,1.63,0.43,4,0.915718,-1.0,-1.0,-1.0
17,1970-01-01 15:16:41,1970-01-01 15:16:42,1.52,1.62,0.46,4,0.866,-1.0,-1.0,-1.0
18,1970-01-01 15:16:44,1970-01-01 15:16:45,1.54,1.62,0.48,4,0.83089,-1.0,-1.0,-1.0
19,1970-01-01 15:16:50,1970-01-01 15:16:52,1.59,1.61,0.51,4,0.803802,-1.0,-1.0,-1.0
20,1970-01-01 15:16:54,1970-01-01 15:16:56,1.57,1.61,0.54,4,0.776487,-1.0,-1.0,-1.0
21,1970-01-01 15:17:00,1970-01-01 15:17:01,1.47,1.6,0.56,4,0.760931,-1.0,-1.0,-1.0
22,1970-01-01 15:17:04,1970-01-01 15:17:05,1.45,1.6,0.59,4,0.752844,-1.0,-1.0,-1.0
23,1970-01-01 15:17:08,1970-01-01 15:17:10,1.51,1.59,0.61,4,0.732707,-1.0,-1.0,-1.0
24,1970-01-01 15:17:14,1970-01-01 15:17:16,1.64,1.6,0.64,4,0.721328,-1.0,-1.0,-1.0
25,1970-01-01 15:17:21,1970-01-01 15:17:22,1.64,1.6,0.67,4,0.70656,-1.0,-1.0,-1.0
26,1970-01-01 15:17:25,1970-01-01 15:17:26,1.44,1.59,0.69,4,0.706437,-1.0,-1.0,-1.0
27,1970-01-01 15:17:29,1970-01-01 15:17:30,1.62,1.59,0.72,4,0.70487,-1.0,-1.0,-1.0
28,1970-01-01 15:17:32,1970-01-01 15:17:33,1.51,1.59,0.74,4,0.692796,-1.0,-1.0,-1.0
29,1970-01-01 15:17:37,1970-01-01 15:17:38,1.52,1.59,0.77,4,0.697589,-1.0,-1.0,-1.0
30,1970-01-01 15:17:41,1970-01-01 15:17:42,1.57,1.59,0.79,4,0.690293,-1.0,-1.0,-1.0
31,1970-01-01 15:17:44,1970-01-01 15:17:45,1.51,1.58,0.82,4,0.686122,-1.0,-1.0,-1.0
32,1970-01-01 15:17:48,1970-01-01 15:17:50,1.59,1.58,0.85,4,0.684297,-1.0,-1.0,-1.0
33,1970-01-01 15:17:53,1970-01-01 15:17:54,1.47,1.58,0.87,4,0.686567,-1.0,-1.0,-1.0
34,1970-01-01 15:17:57,1970-01-01 15:17:58,1.41,1.58,0.89,4,0.677328,-1.0,-1.0,-1.0
35,1970-01-01 15:18:00,1970-01-01 15:18:02,1.43,1.57,0.92,4,0.67695,-1.0,-1.0,-1.0
36,1970-01-01 15:18:06,1970-01-01 15:18:08,1.41,1.57,0.94,4,0.671906,-1.0,-1.0,-1.0
37,1970-01-01 15:18:14,1970-01-01 15:18:15,1.62,1.57,0.97,4,0.674178,-1.0,-1.0,-1.0
38,1970-01-01 15:18:21,1970-01-01 15:18:23,1.53,1.57,0.99,4,0.672084,-1.0,-1.0,-1.0
39,1970-01-01 15:18:29,1970-01-01 15:18:30,1.51,1.57,1.02,4,0.667168,-1.0,-1.0,-1.0
40,1970-01-01 15:18:37,1970-01-01 15:18:38,1.5,1.57,1.04,4,0.668471,-1.0,-1.0,-1.0
41,1970-01-01 15:18:44,1970-01-01 15:18:46,1.52,1.56,1.07,4,0.667775,-1.0,-1.0,-1.0
42,1970-01-01 15:18:52,1970-01-01 15:18:54,1.52,1.56,1.09,4,0.669937,-1.0,-1.0,-1.0
43,1970-01-01 15:18:59,1970-01-01 15:19:01,1.51,1.56,1.12,4,0.669816,-1.0,-1.0,-1.0
44,1970-01-01 15:19:07,1970-01-01 15:19:08,1.57,1.56,1.15,4,0.669167,-1.0,-1.0,-1.0
45,1970-01-01 15:19:16,1970-01-01 15:19:18,1.63,1.56,1.17,4,0.665579,-1.0,-1.0,-1.0
46,1970-01-01 15:19:26,1970-01-01 15:19:27,1.59,1.56,1.2,4,0.666038,-1.0,-1.0,-1.0
47,1970-01-01 15:19:36,1970-01-01 15:19:37,1.55,1.56,1.22,4,0.664263,-1.0,-1.0,-1.0
48,1970-01-01 15:19:46,1970-01-01 15:19:47,1.55,1.56,1.25,4,0.663417,-1.0,-1.0,-1.0
49,1970-01-01 15:19:54,1970-01-01 15:19:56,1.62,1.56,1.28,4,0.664523,-1.0,-1.0,-1.0
50,1970-01-01 15:20:07,1970-01-01 15:20:08,1.54,1.56,1.3,4,0.668686,-1.0,-1.0,-1.0
51,1970-01-01 15:20:19,1970-01-01 15:20:21,1.49,1.56,1.33,4,0.661791,-1.0,-1.0,-1.0
52,1970-01-01 15:20:27,1970-01-01 15:20:29,1.47,1.56,1.35,4,0.662347,-1.0,-1.0,-1.0
53,1970-01-01 15:20:36,1970-01-01 15:20:37,1.52,1.56,1.38,4,0.66045,-1.0,-1.0,-1.0
54,1970-01-01 15:20:45,1970-01-01 15:20:47,2.21,1.57,1.42,4,0.663362,-1.0,-1.0,-1.0
55,1970-01-01 15:20:56,1970-01-01 15:20:58,1.95,1.58,1.45,4,0.665901,-1.0,-1.0,-1.0
56,1970-01-01 15:21:08,1970-01-01 15:21:09,1.88,1.58,1.48,4,0.660267,-1.0,-1.0,-1.0
57,1970-01-01 15:21:15,1970-01-01 15:21:17,2.02,1.59,1.51,4,0.665441,-1.0,-1.0,-1.0
58,1970-01-01 15:21:22,1970-01-01 15:21:24,2.27,1.6,1.55,4,0.661885,-1.0,-1.0,-1.0
59,1970-01-01 15:21:30,1970-01-01 15:21:31,1.6,1.6,1.58,4,0.659105,-1.0,-1.0,-1.0
60,1970-01-01 15:21:37,1970-01-01 15:21:38,1.65,1.6,1.6,4,0.659057,-1.0,-1.0,-1.0
61,1970-01-01 15:21:44,1970-01-01 15:21:46,2.12,1.61,1.64,4,0.664076,-1.0,-1.0,-1.0
62,1970-01-01 15:21:52,1970-01-01 15:21:53,1.61,1.61,1.67,4,0.662119,-1.0,-1.0,-1.0
63,1970-01-01 15:21:59,1970-01-01 15:22:01,1.58,1.61,1.69,4,0.66333,-1.0,-1.0,-1.0
64,1970-01-01 15:22:08,1970-01-01 15:22:09,1.58,1.61,1.72,4,0.659234,-1.0,-1.0,-1.0
65,1970-01-01 15:22:17,1970-01-01 15:22:18,1.53,1.61,1.75,4,0.663095,-1.0,-1.0,-1.0
66,1970-01-01 15:22:23,1970-01-01 15:22:25,1.61,1.61,1.77,4,0.660268,-1.0,-1.0,-1.0
67,1970-01-01 15:22:29,1970-01-01 15:22:31,1.46,1.61,1.8,4,0.661866,-1.0,-1.0,-1.0
68,1970-01-01 15:22:36,1970-01-01 15:22:37,1.54,1.61,1.82,4,0.661605,-1.0,-1.0,-1.0
69,1970-01-01 15:22:44,1970-01-01 15:22:45,1.6,1.61,1.85,4,0.662435,-1.0,-1.0,-1.0
70,1970-01-01 15:22:52,1970-01-01 15:22:54,1.73,1.61,1.88,4,0.659825,-1.0,-1.0,-1.0
71,1970-01-01 15:22:59,1970-01-01 15:23:01,1.63,1.61,1.9,4,0.663547,-1.0,-1.0,-1.0
72,1970-01-01 15:23:09,1970-01-01 15:23:10,1.51,1.61,1.93,4,0.664193,-1.0,-1.0,-1.0
73,1970-01-01 15:23:16,1970-01-01 15:23:17,1.5,1.61,1.95,4,0.662846,-1.0,-1.0,-1.0
74,1970-01-01 15:23:23,1970-01-01 15:23:24,1.44,1.6,1.98,4,0.661559,-1.0,-1.0,-1.0
75,1970-01-01 15:23:31,1970-01-01 15:23:33,1.59,1.6,2.01,4,0.661846,-1.0,-1.0,-1.0
76,1970-01-01 15:23:40,1970-01-01 15:23:41,1.46,1.6,2.03,4,0.665641,-1.0,-1.0,-1.0
77,1970-01-01 15:23:47,1970-01-01 15:23:48,1.49,1.6,2.05,4,0.6649,-1.0,-1.0,-1.0
78,1970-01-01 15:23:53,1970-01-01 15:23:54,1.57,1.6,2.08,4,0.661358,-1.0,-1.0,-1.0
79,1970-01-01 15:23:58,1970-01-01 15:24:00,1.54,1.6,2.11,4,0.662819,-1.0,-1.0,-1.0
80,1970-01-01 15:24:02,1970-01-01 15:24:03,1.59,1.6,2.13,4,0.662783,-1.0,-1.0,-1.0
81,1970-01-01 15:24:06,1970-01-01 15:24:07,1.6,1.6,2.16,4,0.664907,-1.0,-1.0,-1.0
82,1970-01-01 15:24:09,1970-01-01 15:24:11,1.65,1.6,2.19,4,0.65838,-1.0,-1.0,-1.0
83,1970-01-01 15:24:14,1970-01-01 15:24:15,1.45,1.6,2.21,4,0.661416,-1.0,-1.0,-1.0
84,1970-01-01 15:24:20,1970-01-01 15:24:22,1.63,1.6,2.24,4,0.661351,-1.0,-1.0,-1.0
85,1970-01-01 15:24:27,1970-01-01 15:24:28,1.49,1.6,2.26,4,0.659494,-1.0,-1.0,-1.0
86,1970-01-01 15:24:32,1970-01-01 15:24:34,1.49,1.6,2.29,4,0.662065,-1.0,-1.0,-1.0
87,1970-01-01 15:24:39,1970-01-01 15:24:41,1.56,1.6,2.31,4,0.664115,-1.0,-1.0,-1.0
88,1970-01-01 15:24:47,1970-01-01 15:24:48,1.65,1.6,2.34,4,0.663221,-1.0,-1.0,-1.0
89,1970-01-01 15:24:55,1970-01-01 15:24:57,1.72,1.6,2.37,4,0.662358,-1.0,-1.0,-1.0
90,1970-01-01 15:25:01,1970-01-01 15:25:03,1.6,1.6,2.4,4,0.660206,-1.0,-1.0,-1.0
91,1970-01-01 15:25:09,1970-01-01 15:25:10,1.64,1.6,2.42,4,0.658781,-1.0,-1.0,-1.0
92,1970-01-01 15:25:16,1970-01-01 15:25:18,1.71,1.6,2.45,4,0.659867,-1.0,-1.0,-1.0
93,1970-01-01 15:25:24,1970-01-01 15:25:25,1.53,1.6,2.48,4,0.664353,-1.0,-1.0,-1.0
94,1970-01-01 15:25:30,1970-01-01 15:25:32,1.55,1.6,2.5,4,0.659675,-1.0,-1.0,-1.0
95,1970-01-01 15:25:37,1970-01-01 15:25:39,1.48,1.6,2.53,4,0.660187,-1.0,-1.0,-1.0
96,1970-01-01 15:25:44,1970-01-01 15:25:45,1.47,1.6,2.55,4,0.662981,-1.0,-1.0,-1.0
97,1970-01-01 15:25:52,1970-01-01 15:25:53,1.53,1.59,2.58,4,0.660146,-1.0,-1.0,-1.0
98,1970-01-01 15:25:57,1970-01-01 15:25:58,1.43,1.59,2.6,4,0.662391,-1.0,-1.0,-1.0
99,1970-01-01 15:26:02,1970-01-01 15:26:04,1.43,1.59,2.63,4,0.661605,-1.0,-1.0,-1.0
100,1970-01-01 15:26:07,1970-01-01 15:26:09,1.52,1.59,2.65,4,0.665674,-1.0,-1.0,-1.0
101,1970-01-01 15:26:13,1970-01-01 15:26:14,1.44,1.59,2.68,4,0.663656,-1.0,-1.0,-1.0
