epoch,start_time,end_time,duration_s,avg_duration_s,total_time_min,batch_count,avg_train_loss,val_accuracy,val_rmse,val_auc
1,1970-01-01 14:44:57,1970-01-01 14:44:59,2.48,2.48,0.04,4,10.6551,-1.0,-1.0,-1.0
2,1970-01-01 14:45:02,1970-01-01 14:45:03,1.5,1.99,0.07,4,3.080845,-1.0,-1.0,-1.0
3,1970-01-01 14:45:07,1970-01-01 14:45:09,1.61,1.86,0.09,4,2.895324,-1.0,-1.0,-1.0
4,1970-01-01 14:45:13,1970-01-01 14:45:14,1.45,1.76,0.12,4,2.760121,-1.0,-1.0,-1.0
5,1970-01-01 14:45:18,1970-01-01 14:45:20,1.48,1.7,0.14,4,2.540501,-1.0,-1.0,-1.0
6,1970-01-01 14:45:24,1970-01-01 14:45:26,1.57,1.68,0.17,4,2.347765,-1.0,-1.0,-1.0
7,1970-01-01 14:45:30,1970-01-01 14:45:31,1.48,1.65,0.19,4,2.158808,-1.0,-1.0,-1.0
8,1970-01-01 14:45:32,1970-01-01 14:45:34,1.32,1.61,0.21,4,1.949264,-1.0,-1.0,-1.0
9,1970-01-01 14:45:35,1970-01-01 14:45:36,1.37,1.58,0.24,4,1.788044,-1.0,-1.0,-1.0
10,1970-01-01 14:45:38,1970-01-01 14:45:39,1.49,1.58,0.26,4,1.575413,-1.0,-1.0,-1.0
11,1970-01-01 14:45:40,1970-01-01 14:45:42,1.37,1.56,0.29,4,1.426806,-1.0,-1.0,-1.0
12,1970-01-01 14:45:43,1970-01-01 14:45:44,1.34,1.54,0.31,4,1.289676,-1.0,-1.0,-1.0
13,1970-01-01 14:45:45,1970-01-01 14:45:46,1.37,1.53,0.33,4,1.173454,-1.0,-1.0,-1.0
14,1970-01-01 14:45:48,1970-01-01 14:45:49,1.36,1.51,0.35,4,1.060297,-1.0,-1.0,-1.0
15,1970-01-01 14:45:51,1970-01-01 14:45:52,1.6,1.52,0.38,4,0.963811,-1.0,-1.0,-1.0
16,1970-01-01 14:45:54,1970-01-01 14:45:56,1.41,1.51,0.4,4,0.915718,-1.0,-1.0,-1.0
17,1970-01-01 14:45:57,1970-01-01 14:45:59,1.51,1.51,0.43,4,0.866,-1.0,-1.0,-1.0
18,1970-01-01 14:46:01,1970-01-01 14:46:03,1.55,1.51,0.45,4,0.83089,-1.0,-1.0,-1.0
19,1970-01-01 14:46:04,1970-01-01 14:46:05,1.38,1.51,0.48,4,0.803802,-1.0,-1.0,-1.0
20,1970-01-01 14:46:07,1970-01-01 14:46:09,1.58,1.51,0.5,4,0.776487,-1.0,-1.0,-1.0
21,1970-01-01 14:46:10,1970-01-01 14:46:12,1.55,1.51,0.53,4,0.760931,-1.0,-1.0,-1.0
22,1970-01-01 14:46:14,1970-01-01 14:46:15,1.43,1.51,0.55,4,0.752844,-1.0,-1.0,-1.0
23,1970-01-01 14:46:17,1970-01-01 14:46:19,1.54,1.51,0.58,4,0.732707,-1.0,-1.0,-1.0
24,1970-01-01 14:46:21,1970-01-01 14:46:22,1.56,1.51,0.6,4,0.721328,-1.0,-1.0,-1.0
25,1970-01-01 14:46:24,1970-01-01 14:46:26,1.6,1.52,0.63,4,0.70656,-1.0,-1.0,-1.0
26,1970-01-01 14:46:27,1970-01-01 14:46:29,1.41,1.51,0.65,4,0.706437,-1.0,-1.0,-1.0
27,1970-01-01 14:46:30,1970-01-01 14:46:32,1.59,1.51,0.68,4,0.70487,-1.0,-1.0,-1.0
28,1970-01-01 14:46:33,1970-01-01 14:46:35,1.55,1.52,0.71,4,0.692796,-1.0,-1.0,-1.0
29,1970-01-01 14:46:37,1970-01-01 14:46:38,1.69,1.52,0.74,4,0.697589,-1.0,-1.0,-1.0
30,1970-01-01 14:46:40,1970-01-01 14:46:41,1.41,1.52,0.76,4,0.690293,-1.0,-1.0,-1.0
